Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
e difati l'è ri-àt,infatti lui è arrivato,<sos> e difati l'è ri-àt <eos>,<sos> infatti lui è arrivato <eos>
l'è 'nàt a cà cóla hò spuśa e i sò s-cetì,è tornato a casa con la sua sposa e i suoi figli,<sos> l'è 'nàt a cà cóla hò spuśa e i sò s-cetì <eos>,<sos> è tornato a casa con la sua sposa e i suoi figli <eos>
e i óter è 'nàc amò a hercà hö la carità cóme i fà-a,e gli altri sono andati ancora in cerca di carità,<sos> e i óter è 'nàc amò a hercà hö la carità cóme i fà-a <eos>,<sos> e gli altri sono andati ancora in cerca di carità <eos>
'hti fredèi i ga dìh:,i fratelli gli dicono:,<sos> 'hti fredèi i ga dìh <eos>,<sos> i fratelli gli dicono <eos>
e lü l'à fàt sö:,ha corretto:,<sos> e lü l'à fàt sö <eos>,<sos> ha corretto <eos>
e lé è partìc,sono partiti,<sos> e lé è partìc <eos>,<sos> sono partiti <eos>
ü dé,un giorno,<sos> ü dé <eos>,<sos> un giorno <eos>
e dòpo te saré té,e poi sarai tu,<sos> e dòpo te saré té <eos>,<sos> e poi sarai tu <eos>
alura Rośalba la dìs: — ma...,allora Rosalba ha detto:,<sos> alura rośalba la dìs ma . . . <eos>,<sos> allora rosalba ha detto <eos>
pié de fiùr hura,tutto ricoperto di fiori,<sos> pié de fiùr hura <eos>,<sos> tutto ricoperto di fiori <eos>
lé la scultà-a,lei ascoltava,<sos> lé la scultà-a <eos>,<sos> lei ascoltava <eos>
pacìfich e tranquìl,pacifico e tranquillo,<sos> pacìfich e tranquìl <eos>,<sos> pacifico e tranquillo <eos>
ì hét: — chi che béf de 'stå àiguå i di-ènta ü herpént!,sentono: — chi beve quest'acqua diventa un serpente!,<sos> ì hét chi che béf de 'stå àiguå i di-ènta ü herpént ! <eos>,<sos> sentono chi beve quest'acqua diventa un serpente ! <eos>
— madóna mé hó stöfa nèh,"— madonna, sono stanca",<sos> madóna mé hó stöfa nèh <eos>,"<sos> madonna , sono stanca <eos>"
ma béh àrdå! —,ma guarda! —,<sos> ma béh àrdå ! <eos>,<sos> ma guarda ! <eos>
te müriré té,morirai tu,<sos> te müriré té <eos>,<sos> morirai tu <eos>
dunque,dunque:,<sos> dunque <eos>,<sos> dunque <eos>
menemà 'l sènt:,d'un tratto sente,<sos> menemà 'l sènt <eos>,<sos> d'un tratto sente <eos>
ma dòpo li sòi surèle,poi le sorelle,<sos> ma dòpo li sòi surèle <eos>,<sos> poi le sorelle <eos>
perchè prima 'l la menà-a hèmper a scöla lü,perché prima la conduceva sempre a scuola,<sos> perchè prima 'l la menà-a hèmper a scöla lü <eos>,<sos> perché prima la conduceva sempre a scuola <eos>
e alura,così,<sos> e alura <eos>,<sos> così <eos>
quàndo i à hentìt ü budès,quando hanno sentito un baccano,<sos> quàndo i à hentìt ü budès <eos>,<sos> quando hanno sentito un baccano <eos>
per fórsa,per forza,<sos> per fórsa <eos>,<sos> per forza <eos>
la s'è bötàda śó 'n téra,la cerva si è accovacciata in terra,<sos> la s'è bötàda śó 'n téra <eos>,<sos> la cerva si è accovacciata in terra <eos>
"l'à troàt ü lèt, l'è 'ndàdå e durmì","ha trovato un letto, si è coricata","<sos> l'à troàt ü lèt , l'è 'ndàdå e durmì <eos>","<sos> ha trovato un letto , si è coricata <eos>"
peśanti,pesanti,<sos> peśanti <eos>,<sos> pesanti <eos>
pò i turna a picà ala porta,più tardi sentono di nuovo bussare alla porta,<sos> pò i turna a picà ala porta <eos>,<sos> più tardi sentono di nuovo bussare alla porta <eos>
"éra stàc onteligénc, i à capìt","erano stati intelligenti, avevano capito","<sos> éra stàc onteligénc , i à capìt <eos>","<sos> erano stati intelligenti , avevano capito <eos>"
l'è 'gnìt fò ü pér de materàs,ne è uscito un paio di materassi,<sos> l'è 'gnìt fò ü pér de materàs <eos>,<sos> ne è uscito un paio di materassi <eos>
— ma dìl pò e nigü,— non dirlo a nessuno,<sos> ma dìl pò e nigü <eos>,<sos> non dirlo a nessuno <eos>
menemà 'l rìa a cà chèla piö ègia,a un certo punto arriva a casa la più vecchia,<sos> menemà 'l rìa a cà chèla piö ègia <eos>,<sos> a un certo punto arriva a casa la più vecchia <eos>
ś-gàrgiå fò 'l föch,il fuoco non scaturisce,<sos> ś-gàrgiå fò 'l föch <eos>,<sos> il fuoco non scaturisce <eos>
"— nò — 'l dìs — , varde — 'l dìs — i è tròp estöf — al dìh —","— no guardi, sono troppo stanchi","<sos> nò 'l dìs , varde 'l dìs i è tròp estöf al dìh <eos>","<sos> no guardi , sono troppo stanchi <eos>"
la m'à dàt li góśge —,ci ha dato gli aghi —,<sos> la m'à dàt li góśge <eos>,<sos> ci ha dato gli aghi <eos>
e alura chèi fò dét i ghe dìs:,allora quelli dentro dicono:,<sos> e alura chèi fò dét i ghe dìs <eos>,<sos> allora quelli dentro dicono <eos>
— ah turnóm endré —,— torniamo indietro —,<sos> ah turnóm endré <eos>,<sos> torniamo indietro <eos>
la séra la tira fò 'l curtèl,di sera estrae il coltello,<sos> la séra la tira fò 'l curtèl <eos>,<sos> di sera estrae il coltello <eos>
pòta ma 'l temporàl l'infurià-a,ma il temporale infuriava,<sos> pòta ma 'l temporàl l'infurià-a <eos>,<sos> ma il temporale infuriava <eos>
adèh ol temporàl l'è 'm pó pahàt,adesso il temporale si è un po' calmato,<sos> adèh ol temporàl l'è 'm pó pahàt <eos>,<sos> adesso il temporale si è un po' calmato <eos>
al cambia pòht,ha cambiato posto,<sos> al cambia pòht <eos>,<sos> ha cambiato posto <eos>
"e gliùrå adès te töe hö, te pòrte jà —","adesso ti prendo, ti porto via! —","<sos> e gliùrå adès te töe hö , te pòrte jà <eos>","<sos> adesso ti prendo , ti porto via ! <eos>"
tüt amó prónt,tutto è ancora pronto,<sos> tüt amó prónt <eos>,<sos> tutto è ancora pronto <eos>
'à là pórtå pahénså —,porta pazienza —,<sos> 'à là pórtå pahénså <eos>,<sos> porta pazienza <eos>
quàndo che 'l Pómo 'l se desèda fò,quando Pomo si sveglia,<sos> quàndo che 'l pómo 'l se desèda fò <eos>,<sos> quando pomo si sveglia <eos>
in mèh a chèl pià grànt,in mezzo alla pianura,<sos> in mèh a chèl pià grànt <eos>,<sos> in mezzo alla pianura <eos>
pròpe de giórno di nòsse,proprio da giorno di nozze,<sos> pròpe de giórno di nòsse <eos>,<sos> proprio da giorno di nozze <eos>
fét pò chè té ché che 'l gh'è nént,tu cosa fai qui che non c'è niente,<sos> fét pò chè té ché che 'l gh'è nént <eos>,<sos> tu cosa fai qui che non c'è niente <eos>
"cóha gh'ét de èher issé hèmper rabbiùs, gnèch?",da essere sempre così arrabbiato?,"<sos> cóha gh'ét de èher issé hèmper rabbiùs , gnèch ? <eos>",<sos> da essere sempre così arrabbiato ? <eos>
só mìa,non lo so,<sos> só mìa <eos>,<sos> non lo so <eos>
— ma té te gh'é mìa de ardà a chèle ròbe lé,— non devi guardare a queste cose,<sos> ma té te gh'é mìa de ardà a chèle ròbe lé <eos>,<sos> non devi guardare a queste cose <eos>
me che àe jó a diśnà »,devo andare a pranzare »,<sos> me che àe jó a diśnà <eos>,<sos> devo andare a pranzare <eos>
tüc i cüntà-a sö,tutte raccontavano,<sos> tüc i cüntà-a sö <eos>,<sos> tutte raccontavano <eos>
e gliùra,allora,<sos> e gliùra <eos>,<sos> allora <eos>
gli ó dìt,gli ho detto,<sos> gli ó dìt <eos>,<sos> gli ho detto <eos>
se la strìå,se tiene,<sos> se la strìå <eos>,<sos> se tiene <eos>
e 'm mangia e bìf e ma manca negóta,"mangiamo e beviamo, non ci manca niente",<sos> e 'm mangia e bìf e ma manca negóta <eos>,"<sos> mangiamo e beviamo , non ci manca niente <eos>"
pòtå Móro 'l và déter,Moro entra,<sos> pòtå móro 'l và déter <eos>,<sos> moro entra <eos>
che alméno i la mangerà i cà e bùnå nòt —,almeno loro la mangeranno e buona notte —,<sos> che alméno i la mangerà i cà e bùnå nòt <eos>,<sos> almeno loro la mangeranno e buona notte <eos>
l'è 'ndàt en dol lèt,è andato a letto,<sos> l'è 'ndàt en dol lèt <eos>,<sos> è andato a letto <eos>
e dòpo 'l ghe dìs: — öet che adès?,poi le dice: — cosa vuoi adesso?,<sos> e dòpo 'l ghe dìs öet che adès ? <eos>,<sos> poi le dice cosa vuoi adesso ? <eos>
pò i à 'mpi-àt sö,poi hanno acceso,<sos> pò i à 'mpi-àt sö <eos>,<sos> poi hanno acceso <eos>
pò 'l la mèt in bóca per proà,e poi l'ha messa in bocca,<sos> pò 'l la mèt in bóca per proà <eos>,<sos> e poi l'ha messa in bocca <eos>
e 'l pàhå hö,si arrampica,<sos> e 'l pàhå hö <eos>,<sos> si arrampica <eos>
té te pöderèhet espuśàl chèl...,se tu potessi sposarlo...,<sos> té te pöderèhet espuśàl chèl . . . <eos>,<sos> se tu potessi sposarlo . . . <eos>
ài gh'è restàt pròpe piö ni-ént,non le è rimasto proprio più niente,<sos> ài gh'è restàt pròpe piö ni-ént <eos>,<sos> non le è rimasto proprio più niente <eos>
ma dòpo de 'm pó le la h'è htòfàda,ma dopo un po' si è stancata,<sos> ma dòpo de 'm pó le la h'è htòfàda <eos>,<sos> ma dopo un po' si è stancata <eos>
te gh'é gna' famìgliå,non hai neanche famiglia,<sos> te gh'é gna' famìgliå <eos>,<sos> non hai neanche famiglia <eos>
statua di marmo diventerà » —,statua di marmo diventerà » —,<sos> statua di marmo diventerà <eos>,<sos> statua di marmo diventerà <eos>
alura,allora,<sos> alura <eos>,<sos> allora <eos>
'l fà-a per faga i próe,faceva per metterlo alla prova:,<sos> 'l fà-a per faga i próe <eos>,<sos> faceva per metterlo alla prova <eos>
pò la gh'à gna' i bràs,non ha neppure le braccia,<sos> pò la gh'à gna' i bràs <eos>,<sos> non ha neppure le braccia <eos>
l'éra gér,era ieri,<sos> l'éra gér <eos>,<sos> era ieri <eos>
e 'stå màmå l'éra despiràdå,la mamma era disperata,<sos> e 'stå màmå l'éra despiràdå <eos>,<sos> la mamma era disperata <eos>
perchè,perché,<sos> perchè <eos>,<sos> perché <eos>
pòta — 'l dìh —,pota — dice —,<sos> pòta 'l dìh <eos>,<sos> pota dice <eos>
« bandire sùbito,« bandire subito,<sos> bandire sùbito <eos>,<sos> bandire subito <eos>
— nò — 'l dìs — però ön óter laùr,— un'altra cosa però,<sos> nò 'l dìs però ön óter laùr <eos>,<sos> un'altra cosa però <eos>
nóter åm la sà mìå,noi non sappiamo,<sos> nóter åm la sà mìå <eos>,<sos> noi non sappiamo <eos>
l'è stàt desedàt,è rimasto sveglio,<sos> l'è stàt desedàt <eos>,<sos> è rimasto sveglio <eos>
anche 'l canarì-che-pàrlå —,anche il canarino-che-parla —,<sos> anche 'l canarì-che-pàrlå <eos>,<sos> anche il canarino-che-parla <eos>
al vé pròpe sa ol prìncipe,viene il principe in persona,<sos> al vé pròpe sa ol prìncipe <eos>,<sos> viene il principe in persona <eos>
chi sét pò tè?,chi sei tu?,<sos> chi sét pò tè ? <eos>,<sos> chi sei tu ? <eos>
a edì he gh'è ergóta de nöf — al dìh —,a vedere se c'è qualcosa di nuovo,<sos> a edì he gh'è ergóta de nöf al dìh <eos>,<sos> a vedere se c'è qualcosa di nuovo <eos>
che nóter em sè füśgìc e l'arà streàt,che siamo fuggiti e avrà stregato,<sos> che nóter em sè füśgìc e l'arà streàt <eos>,<sos> che siamo fuggiti e avrà stregato <eos>
cóla fanfara,con la fanfara,<sos> cóla fanfara <eos>,<sos> con la fanfara <eos>
pacìfech e tranquì-i,pacifici e tranquilli,<sos> pacìfech e tranquì-i <eos>,<sos> pacifici e tranquilli <eos>
i gh'à dìt: — nóter,e quelli hanno risposto:,<sos> i gh'à dìt nóter <eos>,<sos> e quelli hanno risposto <eos>
l'éra éduvå,era vedova,<sos> l'éra éduvå <eos>,<sos> era vedova <eos>
tùrnå 'ndré!,torna indietro! —,<sos> tùrnå 'ndré ! <eos>,<sos> torna indietro ! <eos>
pò dòpo pòta mè daga hcólt al Hignùr,infatti bisogna dare ascolto al Signore,<sos> pò dòpo pòta mè daga hcólt al hignùr <eos>,<sos> infatti bisogna dare ascolto al signore <eos>
l'è 'ndàdå sö 'n dol pülpi,è salita sul pulpito,<sos> l'è 'ndàdå sö 'n dol pülpi <eos>,<sos> è salita sul pulpito <eos>
i te dirà: « àrdel ché che bèl àlbero! »,ti diranno « guarda che bell'albero! »,<sos> i te dirà àrdel ché che bèl àlbero ! <eos>,<sos> ti diranno guarda che bell'albero ! <eos>
i rìa a cantà 'l Miśerére,arrivano cantando il Miserere,<sos> i rìa a cantà 'l miśerére <eos>,<sos> arrivano cantando il miserere <eos>
e 'l ghe fà gna' caśo a chile stüpidàde che,non bada neanche a queste stupidaggini,<sos> e 'l ghe fà gna' caśo a chile stüpidàde che <eos>,<sos> non bada neanche a queste stupidaggini <eos>
— éh cèrto!,— ah certo,<sos> éh cèrto ! <eos>,<sos> ah certo <eos>
l'éra 'l dì-àol,era il diavolo,<sos> l'éra 'l dì-àol <eos>,<sos> era il diavolo <eos>
söl'àcquå che cùr al mulì,sull'acqua che corre al mulino,<sos> söl'àcquå che cùr al mulì <eos>,<sos> sull'acqua che corre al mulino <eos>
préit ål ge l'à piegàdà hö bé con d'ünå càrtå,il parroco gliel'ha piegata bene in una carta,<sos> préit ål ge l'à piegàdà hö bé con d'ünå càrtå <eos>,<sos> il parroco gliel'ha piegata bene in una carta <eos>
— scùltå Pómo,— ascolta Pomo,<sos> scùltå pómo <eos>,<sos> ascolta pomo <eos>
l'à fàt salta tüc i bànch,ha buttato in aria tutti i banchi,<sos> l'à fàt salta tüc i bànch <eos>,<sos> ha buttato in aria tutti i banchi <eos>
la cór,corre,<sos> la cór <eos>,<sos> corre <eos>
e 'l hotreró »,e lo sotterrerò »,<sos> e 'l hotreró <eos>,<sos> e lo sotterrerò <eos>
l'è la cà dol órco èh,è la casa dell'orco,<sos> l'è la cà dol órco èh <eos>,<sos> è la casa dell'orco <eos>
ma,ma,<sos> ma <eos>,<sos> ma <eos>
òn'estensiù,estensione,<sos> òn'estensiù <eos>,<sos> estensione <eos>
tütå pàciå,fangosa,<sos> tütå pàciå <eos>,<sos> fangosa <eos>
che i è i sò fiöi,che sono i suoi figli,<sos> che i è i sò fiöi <eos>,<sos> che sono i suoi figli <eos>
i è 'ndài de là del fiöm,e sono andati di là,<sos> i è 'ndài de là del fiöm <eos>,<sos> e sono andati di là <eos>
e pà a' 'm pó de mangià perché...,e anche qualcosa da mangiare perché...,<sos> e pà a' 'm pó de mangià perché . . . <eos>,<sos> e anche qualcosa da mangiare perché . . . <eos>
'ssè,così,<sos> 'ssè <eos>,<sos> così <eos>
a ardà se,in cerca,<sos> a ardà se <eos>,<sos> in cerca <eos>
— madóna cóha fàl?,— cosa fa?,<sos> madóna cóha fàl ? <eos>,<sos> cosa fa ? <eos>
i ghe la fà piö,non ce la farebbero più,<sos> i ghe la fà piö <eos>,<sos> non ce la farebbero più <eos>
ü cumpàgn del so,come il suo,<sos> ü cumpàgn del so <eos>,<sos> come il suo <eos>
l'à fàt fìntå de dórme,ha fatto finta di dormire,<sos> l'à fàt fìntå de dórme <eos>,<sos> ha fatto finta di dormire <eos>
l'è mórt carbuniśàt! —,è morto carbonizzato!,<sos> l'è mórt carbuniśàt ! <eos>,<sos> è morto carbonizzato ! <eos>
— tö hö 'l tò fagutì di tò stràs,— prendi il tuo fagottino di stracci,<sos> tö hö 'l tò fagutì di tò stràs <eos>,<sos> prendi il tuo fagottino di stracci <eos>
tütå piénå de fum,tutta piena di fumo,<sos> tütå piénå de fum <eos>,<sos> tutta piena di fumo <eos>
e gliùra ol rè l' dìs,allora il re,<sos> e gliùra ol rè l' dìs <eos>,<sos> allora il re <eos>
— nò nò — la dìh — i h'è mìa metìc dré,"— no, non ancora",<sos> nò nò la dìh i h'è mìa metìc dré <eos>,"<sos> no , non ancora <eos>"
mangì chèl bèl cestì che de fóns,mangiate questo bel cestino di funghi,<sos> mangì chèl bèl cestì che de fóns <eos>,<sos> mangiate questo bel cestino di funghi <eos>
ma hicòme che 'l gh'éra pórå,ma siccome aveva paura,<sos> ma hicòme che 'l gh'éra pórå <eos>,<sos> ma siccome aveva paura <eos>
préghela,pregala,<sos> préghela <eos>,<sos> pregala <eos>
ghe sarà déter,dentro ci saranno,<sos> ghe sarà déter <eos>,<sos> dentro ci saranno <eos>
al rè,al re,<sos> al rè <eos>,<sos> al re <eos>
— ma diga ca 'l sa 'mpiche!,— digli che si impicchi!,<sos> ma diga ca 'l sa 'mpiche ! <eos>,<sos> digli che si impicchi ! <eos>
al vegnìa hö i pèh cóla bóca de-èrta ch'i vurìa mangiài,uscivano i pesci colla bocca aperta che volevano mangiarli,<sos> al vegnìa hö i pèh cóla bóca de-èrta ch'i vurìa mangiài <eos>,<sos> uscivano i pesci colla bocca aperta che volevano mangiarli <eos>
e óltre li promèse dol rè,oltre quello che vi ha promesso il re,<sos> e óltre li promèse dol rè <eos>,<sos> oltre quello che vi ha promesso il re <eos>
gh'è gna' öna fómna che fà la papèssa,non esiste una donna che fa la papessa,<sos> gh'è gna' öna fómna che fà la papèssa <eos>,<sos> non esiste una donna che fa la papessa <eos>
i gh'à dìt de hé,gli han detto di sì,<sos> i gh'à dìt de hé <eos>,<sos> gli han detto di sì <eos>
'l ga dìh ol lügnùr a Piéro:,il Signore dice a Pietro:,<sos> 'l ga dìh ol lügnùr a piéro <eos>,<sos> il signore dice a pietro <eos>
e lùr i dìs:,e quelli:,<sos> e lùr i dìs <eos>,<sos> e quelli <eos>
pò 'l ga dà la lètra al corér,poi ha consegnato la lettera al corriere,<sos> pò 'l ga dà la lètra al corér <eos>,<sos> poi ha consegnato la lettera al corriere <eos>
pie de peöc,pieno di pidocchi,<sos> pie de peöc <eos>,<sos> pieno di pidocchi <eos>
lé la ha mèt dré a fà la hò pastahöta,si mette a fare la pastasciutta,<sos> lé la ha mèt dré a fà la hò pastahöta <eos>,<sos> si mette a fare la pastasciutta <eos>
hò de lü,proprio il suo,<sos> hò de lü <eos>,<sos> proprio il suo <eos>
dòpo te ha stöfet,poi ti stanchi,<sos> dòpo te ha stöfet <eos>,<sos> poi ti stanchi <eos>
cór 'à gió diga ca la ègne sö a' da nù!,corri a dirle che venga anche da noi!,<sos> cór 'à gió diga ca la ègne sö a' da nù ! <eos>,<sos> corri a dirle che venga anche da noi ! <eos>
i fà ü pìcol rinfrèsch,fanno un piccolo rinfresco,<sos> i fà ü pìcol rinfrèsch <eos>,<sos> fanno un piccolo rinfresco <eos>
e 'l vèch a' lü,ed anche lui vede,<sos> e 'l vèch a' lü <eos>,<sos> ed anche lui vede <eos>
"quàndo 'l rìa fò, 'l ga domanda he ga ocór","quando arriva, domanda se occorre","<sos> quàndo 'l rìa fò , 'l ga domanda he ga ocór <eos>","<sos> quando arriva , domanda se occorre <eos>"
giü,un altro,<sos> giü <eos>,<sos> un altro <eos>
e 'ssé harì a' óter,così sarà anche per voi,<sos> e 'ssé harì a' óter <eos>,<sos> così sarà anche per voi <eos>
i sunà-a e,suonavano,<sos> i sunà-a e <eos>,<sos> suonavano <eos>
i à fàt pastì e pastù,hanno fatto pastino e pastone,<sos> i à fàt pastì e pastù <eos>,<sos> hanno fatto pastino e pastone <eos>
e 'l gh'à dìt:,e quello gli ha detto:,<sos> e 'l gh'à dìt <eos>,<sos> e quello gli ha detto <eos>
l'à caminàt,ha camminato,<sos> l'à caminàt <eos>,<sos> ha camminato <eos>
ala principèså? »,alla principessa? »,<sos> ala principèså ? <eos>,<sos> alla principessa ? <eos>
perchè non ò spośato,perché non ho sposato,<sos> perchè non ò spośato <eos>,<sos> perché non ho sposato <eos>
la 'à fò,va fuori,<sos> la 'à fò <eos>,<sos> va fuori <eos>
« bandire mòglie e figli... »,« bandire moglie e figli... »,<sos> bandire mòglie e figli . . . <eos>,<sos> bandire moglie e figli . . . <eos>
quìndi lé la 'à de déter,quindi entri,<sos> quìndi lé la 'à de déter <eos>,<sos> quindi entri <eos>
le la gi à fàc sö tüc bé,li ha riassettati per bene,<sos> le la gi à fàc sö tüc bé <eos>,<sos> li ha riassettati per bene <eos>
— lé che l'érå üna tùśå d'ü cuntadì,— lei che è una figlia di contadini,<sos> lé che l'érå üna tùśå d'ü cuntadì <eos>,<sos> lei che è una figlia di contadini <eos>
e gliùra l'à dìt:,allora han detto:,<sos> e gliùra l'à dìt <eos>,<sos> allora han detto <eos>
pòs mìa mé bandunà che adèh issé —,non posso abbandonare tutto così,<sos> pòs mìa mé bandunà che adèh issé <eos>,<sos> non posso abbandonare tutto così <eos>
'l sarà mìå ü dé de 'ndà a fà i mistér che fó mé —,non sarà il giorno adatto per fare i miei mestieri —,<sos> 'l sarà mìå ü dé de 'ndà a fà i mistér che fó mé <eos>,<sos> non sarà il giorno adatto per fare i miei mestieri <eos>
ål pàså amò,passa di nuovo,<sos> ål pàså amò <eos>,<sos> passa di nuovo <eos>
tüc chi che te 'ncóntret,tutti quelli che incontri,<sos> tüc chi che te 'ncóntret <eos>,<sos> tutti quelli che incontri <eos>
che,che,<sos> che <eos>,<sos> che <eos>
perchè le stré-e — 'l dìs — quàndo le èt che ergü i vé,perché le streghe quando vedono arrivare qualcuno,<sos> perchè le stré-e 'l dìs quàndo le èt che ergü i vé <eos>,<sos> perché le streghe quando vedono arrivare qualcuno <eos>
ma negü ì la hira mìa,ma nessuno sapeva,<sos> ma negü ì la hira mìa <eos>,<sos> ma nessuno sapeva <eos>
ali sèt crape,alle sette teste,<sos> ali sèt crape <eos>,<sos> alle sette teste <eos>
che te l' laghe menà a té a brasèt —,che la lascio venire a braccetto con te,<sos> che te l' laghe menà a té a brasèt <eos>,<sos> che la lascio venire a braccetto con te <eos>
'm và sö!,andiamo!,<sos> 'm và sö ! <eos>,<sos> andiamo ! <eos>
ca le hpacà-a töt,che spaccavano tutto,<sos> ca le hpacà-a töt <eos>,<sos> che spaccavano tutto <eos>
e l'à troàt,ha trovato,<sos> e l'à troàt <eos>,<sos> ha trovato <eos>
argü che i càntå li letanìe,qualcuno che canta le litanie,<sos> argü che i càntå li letanìe <eos>,<sos> qualcuno che canta le litanie <eos>
te ta gh'é de 'ndà del pehì —,devi andare dal pesciolino —,<sos> te ta gh'é de 'ndà del pehì <eos>,<sos> devi andare dal pesciolino <eos>
i à aviàt e fàs sà 'n giro e ardà,si sono messi tutti attorno al pozzo a guardare,<sos> i à aviàt e fàs sà 'n giro e ardà <eos>,<sos> si sono messi tutti attorno al pozzo a guardare <eos>
e he 'l ma hcultèh mìa cóha farèhet?,"se non mi ascoltasse, cosa faresti?",<sos> e he 'l ma hcultèh mìa cóha farèhet ? <eos>,"<sos> se non mi ascoltasse , cosa faresti ? <eos>"
restì padrù óter del mulì,restereste padroni del mulino,<sos> restì padrù óter del mulì <eos>,<sos> restereste padroni del mulino <eos>
e pò śó a hlongala śó,e fa per distenderla,<sos> e pò śó a hlongala śó <eos>,<sos> e fa per distenderla <eos>
che ga harà hö 'l formét —,che ci sarà il frumento —,<sos> che ga harà hö 'l formét <eos>,<sos> che ci sarà il frumento <eos>
— éh pòta 'ndóm,"— va bene, andiamo",<sos> éh pòta 'ndóm <eos>,"<sos> va bene , andiamo <eos>"
ho àch vèśgia,sono ormai vecchia,<sos> ho àch vèśgia <eos>,<sos> sono ormai vecchia <eos>
to töet sö 'sto hachèl,prendi questo sacchetto,<sos> to töet sö 'sto hachèl <eos>,<sos> prendi questo sacchetto <eos>
pòtå dòpo,pota dopo,<sos> pòtå dòpo <eos>,<sos> pota dopo <eos>
lé i ghe n'à dàc ahé,gli han dato,<sos> lé i ghe n'à dàc ahé <eos>,<sos> gli han dato <eos>
"— a 'ndó, a 'ndó","— vado, vado","<sos> a 'ndó , a 'ndó <eos>","<sos> vado , vado <eos>"
pòtå,pota,<sos> pòtå <eos>,<sos> pota <eos>
l'à cuminciàt a stremìs, ha cominciato a spaventarsi,<sos> l'à cuminciàt a stremìs <eos>,<sos> ha cominciato a spaventarsi <eos>
lé la preparà-å a' lé 'n punì de,lei gli preparava un po' di,<sos> lé la preparà-å a' lé 'n punì de <eos>,<sos> lei gli preparava un po' di <eos>
dato che óter caminì tànt e gh'ì fàm,dato che camminate tanto e avete fame,<sos> dato che óter caminì tànt e gh'ì fàm <eos>,<sos> dato che camminate tanto e avete fame <eos>
pötàna lü Piéro,allora Pietro,<sos> pötàna lü piéro <eos>,<sos> allora pietro <eos>
el mulì e fàl maśnà,al mulino a farlo macinare,<sos> el mulì e fàl maśnà <eos>,<sos> al mulino a farlo macinare <eos>
— sà sa — 'l dìh,— vieni —,<sos> sà sa 'l dìh <eos>,<sos> vieni <eos>
ciapé ü lensöl,prendete un lenzuolo,<sos> ciapé ü lensöl <eos>,<sos> prendete un lenzuolo <eos>
l'è di-entàt ol padrù de tüt,è divenuto padrone di tutto,<sos> l'è di-entàt ol padrù de tüt <eos>,<sos> è divenuto padrone di tutto <eos>
e a śbadilà,e di badile,<sos> e a śbadilà <eos>,<sos> e di badile <eos>
pòtå i à,vanno,<sos> pòtå i à <eos>,<sos> vanno <eos>
al tö hö,allora prende,<sos> al tö hö <eos>,<sos> allora prende <eos>
al gh'éå 'ndòh ün incantéśimo,aveva addosso un incantesimo,<sos> al gh'éå 'ndòh ün incantéśimo <eos>,<sos> aveva addosso un incantesimo <eos>
chèl che 'nà-a e ègn cóla posta,il corriere,<sos> chèl che 'nà-a e ègn cóla posta <eos>,<sos> il corriere <eos>
'à con chèl che 'l te l' darà —,quello ti darà alloggio —,<sos> 'à con chèl che 'l te l' darà <eos>,<sos> quello ti darà alloggio <eos>
e lü 'l fà:,e lui fa:,<sos> e lü 'l fà <eos>,<sos> e lui fa <eos>
basta ch'i ma tè-e hö 'l formét!,basta che ci taglino il frumento!,<sos> basta ch'i ma tè-e hö 'l formét ! <eos>,<sos> basta che ci taglino il frumento ! <eos>
e lü 'l gh'à respundìt:,lui le risponde:,<sos> e lü 'l gh'à respundìt <eos>,<sos> lui le risponde <eos>
lùr i l'à metìdå söl tàol,loro l'hanno messa sul tavolo,<sos> lùr i l'à metìdå söl tàol <eos>,<sos> loro l'hanno messa sul tavolo <eos>
i l'à metida söl ca-àl,l'hanno messa sul cavallo,<sos> i l'à metida söl ca-àl <eos>,<sos> l'hanno messa sul cavallo <eos>
ói hai negöne htòrie,— non voglio sapere storie,<sos> ói hai negöne htòrie <eos>,<sos> non voglio sapere storie <eos>
miràcol!,miracolo!,<sos> miràcol ! <eos>,<sos> miracolo ! <eos>
'l m'à dàt ö bicér de 'ì,mi ha dato un bicchier di vino,<sos> 'l m'à dàt ö bicér de 'ì <eos>,<sos> mi ha dato un bicchier di vino <eos>
perchè — 'l dìs — ma 'gnìa piö 'n mènt,non mi ricordavo,<sos> perchè 'l dìs ma 'gnìa piö 'n mènt <eos>,<sos> non mi ricordavo <eos>
e strapàl sö,a strapparlo,<sos> e strapàl sö <eos>,<sos> a strapparlo <eos>
e 'l gh'à tòt fò,e ha tolto,<sos> e 'l gh'à tòt fò <eos>,<sos> e ha tolto <eos>
li sarà amó dét en de 'sta stànså,che saranno in questa stanza,<sos> li sarà amó dét en de 'sta stànså <eos>,<sos> che saranno in questa stanza <eos>
che 'l vülìa mìa 'ndà hö,che non voleva andare su,<sos> che 'l vülìa mìa 'ndà hö <eos>,<sos> che non voleva andare su <eos>
chi mi véde,chi mi vede,<sos> chi mi véde <eos>,<sos> chi mi vede <eos>
"fà ala hvèlta, fà ala hvèlta",fai presto,"<sos> fà ala hvèlta , fà ala hvèlta <eos>",<sos> fai presto <eos>
